Ind,authors,title,year,is_cited_own_paper,is_of_interest
207,Joseph A. Sulpizio; Lior Ella; Asaf Rozen; John Birkbeck; David J. Perello; Debarghya Dutta; Moshe Ben-Shalom; Takashi Taniguchi; Kenji Watanabe; Tobias Holder; Raquel Queiroz; Alessandro Principi; Ady Stern; Thomas Scaffidi; Andre K. Geim; Shahal Ilani,Visualizing Poiseuille flow of hydrodynamic electrons,2019,True,True
208,Aristomenis Donos; Jerome P. Gauntlett,Holographic Q-lattices,2014,True,True
209,J. A. N. Bruin; H. Sakai; R. S. Perry; A. P. Mackenzie,Similarity of Scattering Rates in Metals Showing T-Linear Resistivity,2013,True,True
210,Yi Ling; Peng Liu; Jian-Pin Wu,Holographic butterfly effect at quantum critical points,2017,False,True
211,Yongjun Ahn; Viktor Jahnke; Hyun-Sik Jeong; Keun-Young Kim,Scrambling in hyperbolic black holes: shock waves and pole-skipping,2019,False,True
212,Makoto Natsuume; Takashi Okamura,Pole-skipping in a non-black hole geometry,2023,False,True
213,Koji Hashimoto; Keiju Murata; Norihiro Tanahashi; Ryota Watanabe,Krylov complexity and chaos in quantum mechanics,2023,False,True
214,Tomohiro Harada; Takaaki Ishii; Takuya Katagiri; Norihiro Tanahashi,Hairy black holes in AdS with Robin boundary conditions,2023,False,True
215,Bastien Michon; Christophe Berthod; Carl Willem Rischau; Amirreza Ataei; Lu Chen; Seiki Komiya; Shimpei Ono; Louis Taillefer; Dirk Van Der Marel; Antoine Georges,Reconciling scaling of the optical conductivity of cuprate superconductors with Planckian resistivity and specific heat,2023,False,True
216,S. L. Sondhi; S. M. Girvin; J. P. Carini; D. Shahar,Continuous Quantum Phase Transitions,1997,False,True
217,Aavishkar A. Patel; Haoyu Guo; Ilya Esterlis; Subir Sachdev,Universal theory of strange metals from spatially random interactions,2023,False,True
218,J. Rammer; H. Smith,Quantum field-theoretical methods in transport theory of metals,1986,False,True
219,Sašo Grozdanov; Timotej Lemut; Juan F. Pedraza,Reconstruction of the quasinormal spectrum from pole-skipping,2023,False,True
220,Navid Abbasi; Karl Landsteiner,Pole-skipping as order parameter to probe a quantum critical point,2023,False,True
221,Mike Blake,Universal Charge Diffusion and the Butterfly Effect in Holographic Theories,2016,True,True
222,P.  K. Kovtun; D. T. Son; A. O. Starinets,Viscosity in Strongly Interacting Quantum Field Theories from Black Hole Physics,2005,True,True
223,Sašo Grozdanov,Bounds on transport from univalence and pole-skipping,2021,False,True
224,Arnab Kundu; Vinay Malvimat; Ritam Sinha,State Dependence of Krylov Complexity in $2d$ CFTs,2023,False,True
225,Michal P. Heller; Alexandre Serantes; Michał Spaliński; Benjamin Withers,The Hydrohedron: Bootstrapping Relativistic Hydrodynamics,2023,False,True
